plex,TechRepMixture,fraction,run,Has Tech Reps,data_type,data_file
TMTa,1,00,NASA_Flies_TMTA_20191221_Fr00,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr00.mzML
TMTa,1,01,NASA_Flies_TMTA_20191221_Fr01,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr01.mzML
TMTa,1,01,NASA_Flies_TMTA_20191221_Fr01_191224074450,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr01_191224074450.mzML
TMTa,1,02,NASA_Flies_TMTA_20191221_Fr02,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr02.mzML
TMTa,1,02,NASA_Flies_TMTA_20191221_Fr02_191224104807,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr02_191224104807.mzML
TMTa,1,03,NASA_Flies_TMTA_20191221_Fr03,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr03.mzML
TMTa,1,03,NASA_Flies_TMTA_20191221_Fr03_191224135149,TRUE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr03_191224135149.mzML
TMTa,1,04,NASA_Flies_TMTA_20191221_Fr04,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr04.mzML
TMTa,1,05,NASA_Flies_TMTA_20191221_Fr05,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr05.mzML
TMTa,1,06,NASA_Flies_TMTA_20191221_Fr06,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr06.mzML
TMTa,1,07,NASA_Flies_TMTA_20191221_Fr07,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr07.mzML
TMTa,1,08,NASA_Flies_TMTA_20191221_Fr08,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr08.mzML
TMTa,1,09,NASA_Flies_TMTA_20191221_Fr09,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr09.mzML
TMTa,1,10,NASA_Flies_TMTA_20191221_Fr10,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr10.mzML
TMTa,1,11,NASA_Flies_TMTA_20191221_Fr11,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr11.mzML
TMTa,1,12,NASA_Flies_TMTA_20191221_Fr12,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr12.mzML
TMTa,1,13,NASA_Flies_TMTA_20191221_Fr13,FALSE,DDA,/path/to/NASA_Flies_TMTA_20191221_Fr13.mzML
