run,plex,data_file,TechRepMixture
NASA_Flies_TMTA_20191221_Fr00,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr00.mzML
NASA_Flies_TMTA_20191221_Fr01,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr01.mzML
NASA_Flies_TMTA_20191221_Fr01_191224074450,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr01_191224074450.mzML
NASA_Flies_TMTA_20191221_Fr02,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr02.mzML
NASA_Flies_TMTA_20191221_Fr02_191224104807,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr02_191224104807.mzML
NASA_Flies_TMTA_20191221_Fr03,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr03.mzML
NASA_Flies_TMTA_20191221_Fr03_191224135149,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr03_191224135149.mzML
NASA_Flies_TMTA_20191221_Fr04,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr04.mzML
NASA_Flies_TMTA_20191221_Fr05,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr05.mzML
NASA_Flies_TMTA_20191221_Fr06,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr06.mzML
NASA_Flies_TMTA_20191221_Fr07,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr07.mzML
NASA_Flies_TMTA_20191221_Fr08,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr08.mzML
NASA_Flies_TMTA_20191221_Fr09,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr09.mzML
NASA_Flies_TMTA_20191221_Fr10,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr10.mzML
NASA_Flies_TMTA_20191221_Fr11,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr11.mzML
NASA_Flies_TMTA_20191221_Fr12,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr12.mzML
NASA_Flies_TMTA_20191221_Fr13,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr13.mzML
NASA_Flies_TMTA_20191221_Fr14,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr14.mzML
NASA_Flies_TMTA_20191221_Fr15,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr15.mzML
NASA_Flies_TMTA_20191221_Fr16,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr16.mzML
NASA_Flies_TMTA_20191221_Fr17,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr17.mzML
NASA_Flies_TMTA_20191221_Fr18,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr18.mzML
NASA_Flies_TMTA_20191221_Fr19,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr19.mzML
NASA_Flies_TMTA_20191221_Fr20,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr20.mzML
NASA_Flies_TMTA_20191221_Fr21,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr21.mzML
NASA_Flies_TMTA_20191221_Fr22,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr22.mzML
NASA_Flies_TMTA_20191221_Fr23,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr23.mzML
NASA_Flies_TMTA_20191221_Fr24,TMTa,1,/path/to/NASA_Flies_TMTA_20191221_Fr24.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr01,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr01.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr02,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr02.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr03,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr03.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr04,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr04.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr05,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr05.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr06,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr06.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr07,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr07.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr08,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr08.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr09,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr09.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr10,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr10.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr11,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr11.mzML
NASA_Flies_TMTA_2ndZipTip_20191221_Fr12,TMTa,2,/path/to/NASA_Flies_TMTA_2ndZipTip_20191221_Fr12.mzML
NASA_Flies_TMTB_20200104_Fr00,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr00.mzML
NASA_Flies_TMTB_20200104_Fr01,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr01.mzML
NASA_Flies_TMTB_20200104_Fr02,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr02.mzML
NASA_Flies_TMTB_20200104_Fr03,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr03.mzML
NASA_Flies_TMTB_20200104_Fr04,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr04.mzML
NASA_Flies_TMTB_20200104_Fr05,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr05.mzML
NASA_Flies_TMTB_20200104_Fr06,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr06.mzML
NASA_Flies_TMTB_20200104_Fr07,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr07.mzML
NASA_Flies_TMTB_20200104_Fr08,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr08.mzML
NASA_Flies_TMTB_20200104_Fr09,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr09.mzML
NASA_Flies_TMTB_20200104_Fr10,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr10.mzML
NASA_Flies_TMTB_20200104_Fr11,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr11.mzML
NASA_Flies_TMTB_20200104_Fr12,TMTb,1,/path/to/NASA_Flies_TMTB_20200104_Fr12.mzML
NASA_Flies_TMTC_20200109_Fr00,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr00.mzML
NASA_Flies_TMTC_20200109_Fr01,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr01.mzML
NASA_Flies_TMTC_20200109_Fr02,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr02.mzML
NASA_Flies_TMTC_20200109_Fr03,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr03.mzML
NASA_Flies_TMTC_20200109_Fr04,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr04.mzML
NASA_Flies_TMTC_20200109_Fr05,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr05.mzML
NASA_Flies_TMTC_20200109_Fr06,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr06.mzML
NASA_Flies_TMTC_20200109_Fr07,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr07.mzML
NASA_Flies_TMTC_20200109_Fr08,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr08.mzML
NASA_Flies_TMTC_20200109_Fr09,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr09.mzML
NASA_Flies_TMTC_20200109_Fr10,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr10.mzML
NASA_Flies_TMTC_20200109_Fr11,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr11.mzML
NASA_Flies_TMTC_20200109_Fr12,TMTc,1,/path/to/NASA_Flies_TMTC_20200109_Fr12.mzML
