Sample Name,data_file,organism,Source Name,plex,label,Factor Value[Spaceflight]
RR10_KDN_WT_BSL_B1,/path/to/plex1/RR10_KDN_WT_BSL_B1.mzML,Mus musculus,RR-10_BL-01,TMT1,126,Basal Control
RR10_KDN_WT_BSL_B3,/path/to/plex1/RR10_KDN_WT_BSL_B3.mzML,Mus musculus,RR-10_BL-03,TMT1,127N,Basal Control
RR10_KDN_WT_BSL_B5,/path/to/plex1/RR10_KDN_WT_BSL_B5.mzML,Mus musculus,RR-10_BL-05,TMT1,127C,Basal Control
RR10_KDN_WT_BSL_B7,/path/to/plex1/RR10_KDN_WT_BSL_B7.mzML,Mus musculus,RR-10_BL-07,TMT1,128N,Basal Control
RR10_KDN_WT_BSL_B9,/path/to/plex1/RR10_KDN_WT_BSL_B9.mzML,Mus musculus,RR-10_BL-09,TMT1,128C,Basal Control
RR10_KDN_WT_BSL_B11,/path/to/plex2/RR10_KDN_WT_BSL_B11.mzML,Mus musculus,RR-10_BL-11,TMT2,126,Basal Control
RR10_KDN_WT_BSL_B13,/path/to/plex2/RR10_KDN_WT_BSL_B13.mzML,Mus musculus,RR-10_BL-13,TMT2,127N,Basal Control
RR10_KDN_WT_BSL_B15,/path/to/plex2/RR10_KDN_WT_BSL_B15.mzML,Mus musculus,RR-10_BL-15,TMT2,127C,Basal Control
RR10_KDN_WT_BSL_B17,/path/to/plex2/RR10_KDN_WT_BSL_B17.mzML,Mus musculus,RR-10_BL-17,TMT2,128N,Basal Control
RR10_KDN_WT_BSL_B19,/path/to/plex2/RR10_KDN_WT_BSL_B19.mzML,Mus musculus,RR-10_BL-19,TMT2,128C,Basal Control
RR10_KDN_WT_FLT_F1,/path/to/plex1/RR10_KDN_WT_FLT_F1.mzML,Mus musculus,RR-10_FL-01,TMT1,129N,Space Flight
RR10_KDN_WT_FLT_F3,/path/to/plex1/RR10_KDN_WT_FLT_F3.mzML,Mus musculus,RR-10_FL-03,TMT1,129C,Space Flight
RR10_KDN_WT_FLT_F5,/path/to/plex1/RR10_KDN_WT_FLT_F5.mzML,Mus musculus,RR-10_FL-05,TMT1,130N,Space Flight
RR10_KDN_WT_FLT_F7,/path/to/plex1/RR10_KDN_WT_FLT_F7.mzML,Mus musculus,RR-10_FL-07,TMT1,130C,Space Flight
RR10_KDN_WT_FLT_F9,/path/to/plex1/RR10_KDN_WT_FLT_F9.mzML,Mus musculus,RR-10_FL-09,TMT1,131N,Space Flight
RR10_KDN_WT_FLT_F12,/path/to/plex2/RR10_KDN_WT_FLT_F12.mzML,Mus musculus,RR-10_FL-12,TMT2,129N,Space Flight
RR10_KDN_WT_FLT_F14,/path/to/plex2/RR10_KDN_WT_FLT_F14.mzML,Mus musculus,RR-10_FL-14,TMT2,129C,Space Flight
RR10_KDN_WT_FLT_F16,/path/to/plex2/RR10_KDN_WT_FLT_F16.mzML,Mus musculus,RR-10_FL-16,TMT2,130N,Space Flight
RR10_KDN_WT_FLT_F18,/path/to/plex2/RR10_KDN_WT_FLT_F18.mzML,Mus musculus,RR-10_FL-18,TMT2,130C,Space Flight
RR10_KDN_WT_FLT_F20,/path/to/plex2/RR10_KDN_WT_FLT_F20.mzML,Mus musculus,RR-10_FL-20,TMT2,131N,Space Flight
RR10_KDN_WT_GC_G1,/path/to/plex1/RR10_KDN_WT_GC_G1.mzML,Mus musculus,RR-10_GC-01,TMT1,131C,Ground Control
RR10_KDN_WT_GC_G3,/path/to/plex1/RR10_KDN_WT_GC_G3.mzML,Mus musculus,RR-10_GC-03,TMT1,132N,Ground Control
RR10_KDN_WT_GC_G5,/path/to/plex1/RR10_KDN_WT_GC_G5.mzML,Mus musculus,RR-10_GC-05,TMT1,132C,Ground Control
RR10_KDN_WT_GC_G7,/path/to/plex1/RR10_KDN_WT_GC_G7.mzML,Mus musculus,RR-10_GC-07,TMT1,133N,Ground Control
RR10_KDN_WT_GC_G9,/path/to/plex1/RR10_KDN_WT_GC_G9.mzML,Mus musculus,RR-10_GC-09,TMT1,133C,Ground Control
RR10_KDN_WT_GC_G12,/path/to/plex2/RR10_KDN_WT_GC_G12.mzML,Mus musculus,RR-10_GC-12,TMT2,131C,Ground Control
RR10_KDN_WT_GC_G14,/path/to/plex2/RR10_KDN_WT_GC_G14.mzML,Mus musculus,RR-10_GC-14,TMT2,132N,Ground Control
RR10_KDN_WT_GC_G16,/path/to/plex2/RR10_KDN_WT_GC_G16.mzML,Mus musculus,RR-10_GC-16,TMT2,132C,Ground Control
RR10_KDN_WT_GC_G18,/path/to/plex2/RR10_KDN_WT_GC_G18.mzML,Mus musculus,RR-10_GC-18,TMT2,133N,Ground Control
RR10_KDN_WT_GC_G20,/path/to/plex2/RR10_KDN_WT_GC_G20.mzML,Mus musculus,RR-10_GC-20,TMT2,133C,Ground Control
